지역,링크아이디,도로명,평균속도
서울특별시 종로구,1000000301,종로,13.1
서울특별시 종로구,1000000302,종로,12.8
서울특별시 종로구,1000000303,종로,9.9
서울특별시 종로구,1000000401,종로,12.7
서울특별시 종로구,1000000402,종로,15.2
서울특별시 종로구,1000000403,종로,17.7
서울특별시 종로구,1000000501,종로,12.2
서울특별시 종로구,1000000502,종로,15.7
서울특별시 종로구,1000000503,종로,13.3
서울특별시 종로구,1000000601,종로,16
서울특별시 종로구,1000000602,종로,14.3
서울특별시 종로구,1000000603,종로,10.6
서울특별시 종로구,1000000701,새문안로,24.7
서울특별시 종로구,1000000702,새문안로,20
서울특별시 종로구,1000000703,새문안로,25.5
서울특별시 종로구,1000000801,새문안로,23
서울특별시 종로구,1000000802,새문안로,22
서울특별시 종로구,1000000803,새문안로,20.6
서울특별시 종로구,1000000901,새문안로,14.4
서울특별시 종로구,1000000902,새문안로,26.4
서울특별시 종로구,1000000903,새문안로,23.9
서울특별시 종로구,1000001001,새문안로,13.1
서울특별시 종로구,1000001002,새문안로,24.9
서울특별시 종로구,1000001003,새문안로,15.6
서울특별시 종로구,1000001101,종로,8.7
서울특별시 종로구,1000001102,종로,13.1
서울특별시 종로구,1000001201,종로,18.6
서울특별시 종로구,1000001202,종로,13.2
서울특별시 종로구,1000001301,종로,18.5
서울특별시 종로구,1000001302,종로,18.3
서울특별시 종로구,1000001303,종로,12.6
서울특별시 종로구,1000001401,종로,23.2
서울특별시 종로구,1000001402,종로,18.3
서울특별시 종로구,1000001403,종로,9.6
서울특별시 종로구,1000001501,종로,14
서울특별시 종로구,1000001502,종로,24.6
서울특별시 종로구,1000001503,종로,28.5
서울특별시 종로구,1000001504,종로,29.2
서울특별시 종로구,1000001505,종로,22.6
서울특별시 종로구,1000001601,종로,22.4
서울특별시 종로구,1000001602,종로,25.1
서울특별시 종로구,1000001603,종로,30.9
서울특별시 종로구,1000001604,종로,11.4
서울특별시 종로구,1000001605,종로,11.6
서울특별시 종로구,1000001700,종로,17.5
서울특별시 종로구,1000001801,종로,29.1
서울특별시 종로구,1000001802,종로,19.2
서울특별시 종로구,1000001901,종로,15.7
서울특별시 종로구,1000001902,종로,18.2
서울특별시 종로구,1000002001,종로,21.8
서울특별시 종로구,1000002002,종로,24.5
서울특별시 종로구,1000002003,종로,11.5
서울특별시 종로구,1000002100,종로,15.5
서울특별시 종로구,1000002201,종로,15.6
서울특별시 종로구,1000002301,종로,12.5
서울특별시 종로구,1000002302,종로,21.7
서울특별시 종로구,1000002303,종로,17.3
서울특별시 종로구,1000002401,종로,24.1
서울특별시 종로구,1000002402,종로,22.6
서울특별시 종로구,1000002404,종로,6.5
서울특별시 종로구,1000002501,내부순환도로,54.7
서울특별시 종로구,1000002502,내부순환도로,60.5
서울특별시 종로구,1000002601,내부순환도로,55.1
서울특별시 종로구,1000002602,내부순환도로,59.2
서울특별시 종로구,1000002701,청계천로,9.8
서울특별시 종로구,1000002702,청계천로,15.5
서울특별시 종로구,1000002801,청계천로,11.5
서울특별시 종로구,1000002802,청계천로,12.2
서울특별시 종로구,1000002901,청계천로,16.5
서울특별시 종로구,1000002902,청계천로,11.9
서울특별시 종로구,1000003001,청계천로,12.4
서울특별시 종로구,1000003002,청계천로,12.7
서울특별시 종로구,1000003101,청계천로,12.6
서울특별시 종로구,1000003102,청계천로,19.7
서울특별시 종로구,1000003201,청계천로,17.1
서울특별시 종로구,1000003202,청계천로,12.5
서울특별시 종로구,1000003301,청계천로,12.3
서울특별시 종로구,1000003302,청계천로,12.2
서울특별시 종로구,1000003400,청계천로,12.1
서울특별시 종로구,1000003501,통일로,7.8
서울특별시 종로구,1000003502,통일로,15.9
서울특별시 종로구,1000003503,통일로,36
서울특별시 종로구,1000003504,통일로,29.2
서울특별시 종로구,1000003505,통일로,21.7
서울특별시 종로구,1000003506,통일로,25.8
서울특별시 종로구,1000003601,통일로,9.7
서울특별시 종로구,1000003602,통일로,20.3
서울특별시 종로구,1000003603,통일로,37.2
서울특별시 종로구,1000003604,통일로,26.8
서울특별시 종로구,1000003605,통일로,16.3
서울특별시 종로구,1000003606,통일로,7.4
서울특별시 종로구,1000003700,청계천로,17.8
서울특별시 종로구,1000003801,청계천로,16
서울특별시 종로구,1000003802,청계천로,9.3
서울특별시 종로구,1000003900,삼일대로,13.5
서울특별시 종로구,1000004000,삼일대로,9.8
서울특별시 종로구,1000004101,세종대로21길,16.8
서울특별시 종로구,1000004102,세종대로21길,13.1
서울특별시 종로구,1000004103,세종대로21길,12.2
서울특별시 종로구,1000004201,세종대로21길,16.7
서울특별시 종로구,1000004202,세종대로21길,13.6
서울특별시 종로구,1000004203,세종대로21길,16
서울특별시 종로구,1000004300,청계천로,10
서울특별시 종로구,1000004400,청계천로,15.8
